t,r
0,-0.031074
0.01,-0.030616
0.02,-0.030159
0.03,-0.029703
0.04,-0.029247
0.05,-0.028793
0.06,-0.02834
0.07,-0.027887
0.08,-0.027436
0.09,-0.026985
0.1,-0.026536
0.11,-0.026087
0.12,-0.02564
0.13,-0.025193
0.14,-0.024748
0.15,-0.024303
0.16,-0.02386
0.17,-0.023417
0.18,-0.022976
0.19,-0.022535
0.2,-0.022095
0.21,-0.021657
0.22,-0.021219
0.23,-0.020782
0.24,-0.020347
0.25,-0.019912
0.26,-0.019478
0.27,-0.019045
0.28,-0.018613
0.29,-0.018183
0.3,-0.017753
0.31,-0.017324
0.32,-0.016896
0.33,-0.016469
0.34,-0.016043
0.35,-0.015618
0.36,-0.015194
0.37,-0.014771
0.38,-0.014348
0.39,-0.013927
0.4,-0.013507
0.41,-0.013088
0.42,-0.01267
0.43,-0.012252
0.44,-0.011836
0.45,-0.011421
0.46,-0.011006
0.47,-0.010593
0.48,-0.01018
0.49,-0.0097687
0.5,-0.0093581
0.51,-0.0089485
0.52,-0.0085399
0.53,-0.0081322
0.54,-0.0077255
0.55,-0.0073197
0.56,-0.0069149
0.57,-0.006511
0.58,-0.0061081
0.59,-0.0057062
0.6,-0.0053052
0.61,-0.0049051
0.62,-0.004506
0.63,-0.0041079
0.64,-0.0037107
0.65,-0.0033145
0.66,-0.0029192
0.67,-0.0025248
0.68,-0.0021314
0.69,-0.001739
0.7,-0.0013475
0.71,-0.00095694
0.72,-0.00056733
0.73,-0.00017866
0.74,0.00020906
0.75,0.00059585
0.76,0.00098169
0.77,0.0013666
0.78,0.0017506
0.79,0.0021336
0.8,0.0025157
0.81,0.0028968
0.82,0.003277
0.83,0.0036563
0.84,0.0040346
0.85,0.004412
0.86,0.0047885
0.87,0.0051641
0.88,0.0055387
0.89,0.0059124
0.9,0.0062851
0.91,0.0066569
0.92,0.0070278
0.93,0.0073978
0.94,0.0077668
0.95,0.008135
0.96,0.0085022
0.97,0.0088684
0.98,0.0092338
0.99,0.0095982
1,0.0099617
1.01,0.010324
1.02,0.010686
1.03,0.011047
1.04,0.011407
1.05,0.011765
1.06,0.012123
1.07,0.012481
1.08,0.012837
1.09,0.013192
1.1,0.013546
1.11,0.0139
1.12,0.014252
1.13,0.014604
1.14,0.014955
1.15,0.015305
1.16,0.015654
1.17,0.016002
1.18,0.016349
1.19,0.016695
1.2,0.01704
1.21,0.017385
1.22,0.017728
1.23,0.018071
1.24,0.018412
1.25,0.018753
1.26,0.019093
1.27,0.019432
1.28,0.01977
1.29,0.020108
1.3,0.020444
1.31,0.020779
1.32,0.021114
1.33,0.021448
1.34,0.021781
1.35,0.022112
1.36,0.022443
1.37,0.022774
1.38,0.023103
1.39,0.023431
1.4,0.023759
1.41,0.024085
1.42,0.024411
1.43,0.024736
1.44,0.02506
1.45,0.025383
1.46,0.025706
1.47,0.026027
1.48,0.026348
1.49,0.026667
1.5,0.026986
1.51,0.027304
1.52,0.027621
1.53,0.027937
1.54,0.028252
1.55,0.028567
1.56,0.028881
1.57,0.029193
1.58,0.029505
1.59,0.029816
1.6,0.030126
1.61,0.030436
1.62,0.030744
1.63,0.031052
1.64,0.031359
1.65,0.031664
1.66,0.031969
1.67,0.032274
1.68,0.032577
1.69,0.03288
1.7,0.033181
1.71,0.033482
1.72,0.033782
1.73,0.034081
1.74,0.03438
1.75,0.034677
1.76,0.034974
1.77,0.035269
1.78,0.035564
1.79,0.035858
1.8,0.036152
1.81,0.036444
1.82,0.036736
1.83,0.037027
1.84,0.037317
1.85,0.037606
1.86,0.037894
1.87,0.038182
1.88,0.038468
1.89,0.038754
1.9,0.039039
1.91,0.039323
1.92,0.039607
1.93,0.039889
1.94,0.040171
1.95,0.040452
1.96,0.040732
1.97,0.041012
1.98,0.04129
1.99,0.041568
2,0.041845
2.01,0.042121
2.02,0.042396
2.03,0.04267
2.04,0.042944
2.05,0.043217
2.06,0.043489
2.07,0.04376
2.08,0.044031
2.09,0.044301
2.1,0.044569
2.11,0.044838
2.12,0.045105
2.13,0.045371
2.14,0.045637
2.15,0.045902
2.16,0.046166
2.17,0.046429
2.18,0.046692
2.19,0.046954
2.2,0.047215
2.21,0.047475
2.22,0.047734
2.23,0.047993
2.24,0.048251
2.25,0.048508
2.26,0.048764
2.27,0.04902
2.28,0.049275
2.29,0.049529
2.3,0.049782
2.31,0.050035
2.32,0.050286
2.33,0.050537
2.34,0.050787
2.35,0.051037
2.36,0.051285
2.37,0.051533
2.38,0.051781
2.39,0.052027
