t,z
0,0
0.01,0.0010095
0.02,0.004038
0.03,0.0090855
0.04,0.016152
0.05,0.025237
0.06,0.036342
0.07,0.049217
0.08,0.063522
0.09,0.078971
0.1,0.095338
0.11,0.11244
0.12,0.13011
0.13,0.14825
0.14,0.16676
0.15,0.18554
0.16,0.20454
0.17,0.22371
0.18,0.24301
0.19,0.2624
0.2,0.28185
0.21,0.30134
0.22,0.32085
0.23,0.34038
0.24,0.3599
0.25,0.37941
0.26,0.3989
0.27,0.41836
0.28,0.4378
0.29,0.4572
0.3,0.47656
0.31,0.49588
0.32,0.51515
0.33,0.53438
0.34,0.55357
0.35,0.57271
0.36,0.5918
0.37,0.61084
0.38,0.62984
0.39,0.64878
0.4,0.66768
0.41,0.68652
0.42,0.70532
0.43,0.72406
0.44,0.74276
0.45,0.7614
0.46,0.77999
0.47,0.79853
0.48,0.81703
0.49,0.83547
0.5,0.85386
0.51,0.8722
0.52,0.89049
0.53,0.90873
0.54,0.92691
0.55,0.94505
0.56,0.96314
0.57,0.98118
0.58,0.99917
0.59,1.0171
0.6,1.035
0.61,1.0528
0.62,1.0706
0.63,1.0884
0.64,1.106
0.65,1.1237
0.66,1.1413
0.67,1.1588
0.68,1.1763
0.69,1.1937
0.7,1.2111
0.71,1.2285
0.72,1.2458
0.73,1.263
0.74,1.2802
0.75,1.2973
0.76,1.3144
0.77,1.3315
0.78,1.3485
0.79,1.3654
0.8,1.3823
0.81,1.3992
0.82,1.416
0.83,1.4328
0.84,1.4495
0.85,1.4661
0.86,1.4827
0.87,1.4993
0.88,1.5158
0.89,1.5323
0.9,1.5487
0.91,1.5651
0.92,1.5814
0.93,1.5977
0.94,1.6139
0.95,1.6301
0.96,1.6462
0.97,1.6623
0.98,1.6783
0.99,1.6943
1,1.7103
1.01,1.7262
1.02,1.742
1.03,1.7578
1.04,1.7736
1.05,1.7893
1.06,1.805
1.07,1.8206
1.08,1.8361
1.09,1.8517
1.1,1.8671
1.11,1.8826
1.12,1.898
1.13,1.9133
1.14,1.9286
1.15,1.9438
1.16,1.959
1.17,1.9742
1.18,1.9893
1.19,2.0044
1.2,2.0194
1.21,2.0344
1.22,2.0493
1.23,2.0642
1.24,2.079
1.25,2.0938
1.26,2.1085
1.27,2.1232
1.28,2.1379
1.29,2.1525
1.3,2.1671
1.31,2.1816
1.32,2.1961
1.33,2.2105
1.34,2.2249
1.35,2.2392
1.36,2.2535
1.37,2.2678
1.38,2.282
1.39,2.2962
1.4,2.3103
1.41,2.3244
1.42,2.3384
1.43,2.3524
1.44,2.3663
1.45,2.3802
1.46,2.3941
1.47,2.4079
1.48,2.4217
1.49,2.4354
1.5,2.4491
1.51,2.4627
1.52,2.4763
1.53,2.4899
1.54,2.5034
1.55,2.5169
1.56,2.5303
1.57,2.5437
1.58,2.557
1.59,2.5703
1.6,2.5836
1.61,2.5968
1.62,2.61
1.63,2.6231
1.64,2.6362
1.65,2.6493
1.66,2.6623
1.67,2.6752
1.68,2.6881
1.69,2.701
1.7,2.7139
1.71,2.7267
1.72,2.7394
1.73,2.7521
1.74,2.7648
1.75,2.7774
1.76,2.79
1.77,2.8026
1.78,2.8151
1.79,2.8275
1.8,2.84
1.81,2.8523
1.82,2.8647
1.83,2.877
1.84,2.8893
1.85,2.9015
1.86,2.9137
1.87,2.9258
1.88,2.9379
1.89,2.95
1.9,2.962
1.91,2.974
1.92,2.9859
1.93,2.9978
1.94,3.0097
1.95,3.0215
1.96,3.0333
1.97,3.045
1.98,3.0567
1.99,3.0684
2,3.08
2.01,3.0916
2.02,3.1031
2.03,3.1146
2.04,3.1261
2.05,3.1375
2.06,3.1489
2.07,3.1603
2.08,3.1716
2.09,3.1829
2.1,3.1941
2.11,3.2053
2.12,3.2165
2.13,3.2276
2.14,3.2387
2.15,3.2497
2.16,3.2607
2.17,3.2717
2.18,3.2826
2.19,3.2935
2.2,3.3044
2.21,3.3152
2.22,3.326
2.23,3.3367
2.24,3.3474
2.25,3.3581
2.26,3.3687
2.27,3.3793
2.28,3.3899
2.29,3.4004
2.3,3.4109
2.31,3.4213
2.32,3.4317
2.33,3.4421
2.34,3.4524
2.35,3.4627
2.36,3.473
2.37,3.4832
2.38,3.4934
2.39,3.5036
2.4,3.5137
2.41,3.5238
2.42,3.5338
2.43,3.5438
2.44,3.5538
2.45,3.5638
2.46,3.5737
2.47,3.5835
2.48,3.5934
2.49,3.6032
2.5,3.6129
2.51,3.6227
2.52,3.6324
2.53,3.642
2.54,3.6516
2.55,3.6612
2.56,3.6708
2.57,3.6803
2.58,3.6898
2.59,3.6992
2.6,3.7086
2.61,3.718
2.62,3.7274
2.63,3.7367
2.64,3.7459
2.65,3.7552
2.66,3.7644
2.67,3.7736
2.68,3.7827
2.69,3.7918
2.7,3.8009
2.71,3.8099
2.72,3.8189
2.73,3.8279
2.74,3.8368
2.75,3.8458
2.76,3.8546
2.77,3.8635
2.78,3.8723
2.79,3.881
2.8,3.8898
2.81,3.8985
2.82,3.9072
2.83,3.9158
2.84,3.9244
2.85,3.933
2.86,3.9415
2.87,3.9501
2.88,3.9585
2.89,3.967
2.9,3.9754
2.91,3.9838
2.92,3.9921
2.93,4.0004
2.94,4.0087
2.95,4.017
2.96,4.0252
2.97,4.0334
2.98,4.0416
2.99,4.0497
3,4.0578
3.01,4.0659
3.02,4.0739
3.03,4.0819
3.04,4.0899
3.05,4.0978
3.06,4.1057
3.07,4.1136
3.08,4.1214
3.09,4.1293
3.1,4.1371
3.11,4.1448
3.12,4.1525
3.13,4.1602
3.14,4.1679
3.15,4.1755
3.16,4.1831
3.17,4.1907
3.18,4.1983
3.19,4.2058
3.2,4.2133
3.21,4.2207
3.22,4.2281
3.23,4.2355
3.24,4.2429
3.25,4.2502
3.26,4.2575
3.27,4.2648
3.28,4.2721
3.29,4.2793
3.3,4.2865
3.31,4.2936
3.32,4.3008
3.33,4.3079
3.34,4.3149
3.35,4.322
3.36,4.329
3.37,4.336
3.38,4.343
3.39,4.3499
3.4,4.3568
3.41,4.3637
3.42,4.3705
3.43,4.3773
3.44,4.3841
3.45,4.3909
3.46,4.3976
3.47,4.4043
3.48,4.411
3.49,4.4176
3.5,4.4243
3.51,4.4309
3.52,4.4374
3.53,4.444
3.54,4.4505
3.55,4.457
3.56,4.4634
3.57,4.4699
3.58,4.4763
3.59,4.4826
3.6,4.489
3.61,4.4953
3.62,4.5016
3.63,4.5079
3.64,4.5141
3.65,4.5203
3.66,4.5265
3.67,4.5327
3.68,4.5388
3.69,4.5449
3.7,4.551
3.71,4.5571
3.72,4.5631
3.73,4.5691
3.74,4.5751
3.75,4.581
3.76,4.587
3.77,4.5929
3.78,4.5987
3.79,4.6046
3.8,4.6104
3.81,4.6162
3.82,4.622
3.83,4.6277
3.84,4.6335
3.85,4.6392
3.86,4.6448
3.87,4.6505
3.88,4.6561
3.89,4.6617
3.9,4.6673
3.91,4.6728
3.92,4.6784
3.93,4.6839
3.94,4.6893
3.95,4.6948
3.96,4.7002
3.97,4.7056
3.98,4.711
3.99,4.7163
4,4.7217
4.01,4.727
4.02,4.7322
4.03,4.7375
4.04,4.7427
4.05,4.7479
4.06,4.7531
4.07,4.7583
4.08,4.7634
4.09,4.7685
4.1,4.7736
4.11,4.7787
4.12,4.7837
4.13,4.7888
4.14,4.7938
4.15,4.7987
4.16,4.8037
4.17,4.8086
4.18,4.8135
4.19,4.8184
4.2,4.8233
4.21,4.8281
4.22,4.8329
4.23,4.8377
4.24,4.8425
4.25,4.8472
4.26,4.8519
4.27,4.8566
4.28,4.8613
4.29,4.866
4.3,4.8706
4.31,4.8752
4.32,4.8798
4.33,4.8844
4.34,4.8889
4.35,4.8934
4.36,4.8979
4.37,4.9024
4.38,4.9069
4.39,4.9113
4.4,4.9157
4.41,4.9201
4.42,4.9245
4.43,4.9289
4.44,4.9332
4.45,4.9375
4.46,4.9418
4.47,4.946
4.48,4.9503
4.49,4.9545
4.5,4.9587
4.51,4.9629
4.52,4.9671
4.53,4.9712
4.54,4.9753
4.55,4.9794
4.56,4.9835
4.57,4.9876
4.58,4.9916
4.59,4.9956
4.6,4.9996
4.61,5.0036
4.62,5.0076
4.63,5.0115
4.64,5.0154
4.65,5.0193
4.66,5.0232
4.67,5.0271
4.68,5.0309
4.69,5.0347
4.7,5.0385
4.71,5.0423
4.72,5.046
4.73,5.0498
4.74,5.0535
4.75,5.0572
4.76,5.0609
4.77,5.0646
4.78,5.0682
